"PitcherThrows","TaggedPitchType","usage","InducedVertBreak","HorzBreak","SpinAxis"
"Left","FB",50.9,18.3006224373086,-9.93428062581826,148.704011816755
"Left","SI",6.6,13.6525668645211,-15.1531279899682,128.191103027227
"Left","CT",4.2,11.8611357115616,-1.75490537653529,171.981622208295
"Left","CB",10.1,-8.05193464834438,8.02879578387154,313.984270222621
"Left","SL",15.8,0.542232438784726,7.19627617270585,266.349906917862
"Left","CH",12.1,12.83753979974,-14.401787100285,128.595202847127
"Left","SPL",0.3,8.87266535137725,-7.0974213141147,134.83867761107
"Right","FB",43.8,16.8441328035163,11.1533530653054,216.712454156603
"Right","SI",13,12.0360677176533,15.1526589794691,236.904220271454
"Right","CT",6.8,9.49537900462145,1.95411905506662,197.829958238523
"Right","CB",5,-9.46443616568168,-9.63790067318739,48.1478895438859
"Right","SL",19.9,0.0215318548228029,-7.08832525017631,93.0527390423433
"Right","CH",10.2,8.98459309477048,15.5187974123234,242.483002142333
"Right","SPL",1.2,6.97298860738427,9.82027372801958,244.209179501988
"Right","KN",0,4.25102234782467,6.29598054457824,227.127192306182
