"Date","Pitcher","PitcherThrows","PitcherTeam","TaggedPitchType","RelSpeed","InducedVertBreak","HorzBreak","SpinAxis","RelHeight","RelSide","Extension","SpinRate","yt_Efficiency","HomeTeamCode"
"2024-05-10","Aaron Glickstein","Right","Schaumburg Boomers","Curveball",77.61393942,-7.027725793,-9.581512171,40.3210276,5.08035696,1.038506594,6.885362099,2166.566234,59.41805732,"WWT"
"2024-05-10","Aaron Glickstein","Right","Schaumburg Boomers","Cutter",84.81682598,13.82295558,0.80236603,185.0488655,5.062639786,1.292179464,6.863154532,2194.57901,53.05968821,"WWT"
"2024-05-10","Aaron Glickstein","Right","Schaumburg Boomers","Fastball",88.54038662,18.0431874,5.53148164,202.1506807,6.28971956,1.781498174,6.000000192,2148.362072,79.47601556,"WWT"
"2024-05-10","Aaron Glickstein","Right","Schaumburg Boomers","Fastball",88.27083791,18.61459416,1.04947283,182.9414614,5.068401976,1.152818507,6.905671224,1987.575519,82.83720074,"WWT"
"2024-05-10","Aaron Glickstein","Right","Schaumburg Boomers","Cutter",82.95898411,13.70018386,-1.44184832,174.2390282,5.049192016,1.093691104,6.914418889,2061.961671,53.35644436,"WWT"
"2024-05-10","Aaron Glickstein","Right","Schaumburg Boomers","Curveball",77.75437972,-8.284130131,-9.649978618,37.80459306,5.039718944,1.088064346,6.916881168,2214.361271,63.19547262,"WWT"
"2024-05-10","Aaron Glickstein","Right","Schaumburg Boomers","Cutter",79.49697783,12.08921025,-3.484873181,167.4605671,5.122338355,0.942518049,6.755172721,2142.168635,45.42805074,"WWT"
"2024-05-10","Aaron Glickstein","Right","Schaumburg Boomers","Cutter",81.76453649,11.75343064,-1.897710015,172.5018077,5.08861885,0.80279022,6.659472669,2228.225594,40.82134293,"WWT"
"2024-05-10","Aaron Glickstein","Right","Schaumburg Boomers","Fastball",84.91544468,18.13567773,4.953614948,197.9844407,5.108059518,0.854836455,6.930127156,2157.949562,78.18011475,"WWT"
"2024-05-10","Aaron Glickstein","Right","Schaumburg Boomers","Fastball",,,,,,,,,,"WWT"
"2024-05-10","Aaron Glickstein","Right","Schaumburg Boomers","Fastball",84.72087971,18.78974277,3.765599397,195.795618,5.060617429,0.986731846,6.942745203,2217.288742,80.99076044,"WWT"
"2024-05-10","Aaron Glickstein","Right","Schaumburg Boomers","Fastball",82.88988514,18.429391,3.554924097,195.7003861,5.067756594,0.875358266,7.007921886,2070.507273,82.15695438,"WWT"
"2024-05-10","Aaron Glickstein","Right","Schaumburg Boomers","Slider",79.99213198,7.878322166,-6.713147303,135.360872,5.160710301,0.847485539,6.64443059,2249.86632,31.67086886,"WWT"
"2024-05-10","Aaron Glickstein","Right","Schaumburg Boomers","Curveball",74.39843576,-10.12728107,-8.945993266,30.73176175,5.062352282,0.923564644,6.755618687,2060.349475,66.58080954,"WWT"
"2024-05-10","Aaron Glickstein","Right","Schaumburg Boomers","Slider",80.30731384,8.748031838,-5.805039103,136.7659894,5.145349869,1.154909303,6.702160688,2064.986246,40.63165398,"WWT"
"2024-05-10","Aaron Glickstein","Right","Schaumburg Boomers","Cutter",80.33065311,10.26554312,-4.089752207,164.5476041,6.230839357,1.744165828,6.000000192,2012.81483,35.34342236,"WWT"
"2024-05-10","Aaron Glickstein","Right","Schaumburg Boomers","Fastball",83.61548358,19.33421629,4.777314685,198.4247611,6.327724662,2.297824,6.000000192,2064.991943,81.48047022,"WWT"
"2024-05-10","Aaron Glickstein","Right","Schaumburg Boomers","Slider",78.08345068,8.000942906,-6.081225878,143.3478581,5.099080645,0.940854407,6.964488765,2161.655862,29.22783548,"WWT"
"2024-05-10","Aaron Glickstein","Right","Schaumburg Boomers","Cutter",80.77512205,13.58365085,-2.648190709,176.3572729,6.273577396,1.894761667,6.000000192,2138.989874,46.4058377,"WWT"
"2024-05-10","Aaron Glickstein","Right","Schaumburg Boomers","Cutter",79.70301504,13.83069023,-1.347468583,181.8251895,6.247550588,2.16824381,6.000000192,2234.095353,47.45235739,"WWT"
"2024-05-10","Aaron Glickstein","Right","Schaumburg Boomers","Changeup",78.33539267,14.20031293,3.83597953,199.4802554,6.583370769,1.801470757,6.000000192,1229.065956,73.71881018,"WWT"
"2024-05-10","Aaron Glickstein","Right","Schaumburg Boomers","Fastball",84.61633595,19.4939308,4.086548392,195.6739414,4.995058541,0.907987562,6.968031416,2182.923941,84.54345528,"WWT"
"2024-05-10","Aaron Glickstein","Right","Schaumburg Boomers","Cutter",81.50336875,11.93164459,-1.855577675,169.4941621,5.052430202,1.016674597,6.599385593,2207.81938,40.75163673,"WWT"
"2024-05-10","Aaron Glickstein","Right","Schaumburg Boomers","Cutter",80.9719187,11.0011743,-4.410693909,158.8460952,5.108383301,1.001824844,6.705371654,2204.874823,42.31686718,"WWT"
"2024-05-10","Aaron Glickstein","Right","Schaumburg Boomers","Cutter",80.95180616,,,,5.706499999,2.248018194,6.000000192,,,"WWT"
"2024-05-10","Aaron Glickstein","Right","Schaumburg Boomers","Fastball",83.40453388,19.00194672,5.37905972,197.8620368,4.98838883,0.873743212,6.915024014,2174.12282,82.73622156,"WWT"
"2024-05-10","Aaron Glickstein","Right","Schaumburg Boomers","Cutter",79.90077804,12.03189422,-2.578241258,162.8492841,5.11310179,1.009186982,6.743697119,2188.822901,45.38086394,"WWT"
"2024-05-10","Aaron Glickstein","Right","Schaumburg Boomers","Fastball",84.86990691,19.25825869,3.78785326,195.4484571,6.443671326,0.927124837,6.000000192,2173.555589,80.25449354,"WWT"
